date,SUM(total_laid_off)
2024-02-08,340
2022-05-17,340
2022-06-13,339
2023-09-11,339
2023-12-05,335
2022-10-20,334
2023-08-30,332
2023-04-26,330
2022-01-20,330
2022-07-11,329
2023-10-18,329
2022-09-01,327
2021-02-09,323
2023-09-15,320
2024-09-04,320
2021-01-13,315
2023-01-09,315
2024-01-12,313
2024-05-01,312
2022-04-20,312
2023-12-21,311
2024-06-05,310
2022-10-27,307
2022-10-04,305
2024-02-20,305
2023-05-25,303
2022-10-19,302
2023-10-14,300
2021-12-22,300
2022-09-23,300
2020-07-14,300
2023-07-02,300
2023-04-17,299
2022-09-15,298
2024-03-19,295
2022-10-21,293
2023-02-28,290
2020-03-19,288
2020-06-12,288
2022-05-20,287
2023-05-01,284
2023-03-15,283
2023-08-20,283
2022-10-28,282
2023-09-26,281
2024-06-26,281
2023-10-05,280
2024-01-24,280
2020-04-27,280
2024-02-02,280
2024-04-11,280
2024-09-11,280
2022-09-08,278
2023-03-27,275
2020-09-01,272
2023-02-03,269
2022-11-08,265
2023-10-30,265
2023-06-09,263
2024-10-29,263
2023-10-02,262
2022-02-21,261
2023-01-15,260
2020-09-11,260
2024-06-27,260
2024-09-08,260
2020-04-16,255
2020-06-03,252
2024-02-07,250
2024-07-02,250
2020-05-17,250
2020-08-11,250
2020-10-10,250
2022-08-03,249
2024-07-29,248
2022-11-25,247
2022-12-02,247
2022-12-23,242
2023-02-20,238
2022-06-17,235
2024-09-18,231
2022-07-06,230
2022-09-16,230
2023-09-21,230
2023-06-28,229
2022-09-19,229
2023-04-13,228
2024-01-02,224
2022-08-05,221
2024-06-19,220
2022-07-14,220
2024-04-18,220
2023-12-07,220
2023-06-13,219
2023-02-10,218
2022-05-27,214
2020-05-27,212
2022-07-15,210
2022-07-01,210
2022-09-22,210
2023-06-02,210
2023-11-07,208
2022-10-07,205
2024-11-21,202
2022-06-19,200
2021-02-22,200
2020-05-25,200
2024-10-10,200
2023-10-25,200
2023-09-27,200
2024-04-23,200
2023-07-30,200
2021-02-23,200
2024-07-27,200
2023-12-20,200
2023-06-05,200
2023-02-25,200
2024-07-26,200
2020-06-19,200
2022-02-10,198
2022-10-25,197
2022-07-18,192
2023-09-04,191
2022-03-01,190
2023-11-21,185
2022-12-05,185
2023-12-06,185
2023-05-26,183
2022-05-12,182
2020-04-30,181
2023-11-13,180
2022-03-26,180
2022-01-26,180
2023-10-10,180
2021-01-23,180
2020-07-28,180
2022-04-21,180
2020-06-02,178
2023-04-29,177
2022-04-28,175
2020-12-16,174
2020-11-17,172
2024-11-06,172
2023-03-24,170
2024-05-06,170
2023-10-26,170
2020-05-03,170
2023-06-17,170
2024-09-16,170
2020-04-24,165
2024-04-12,165
2022-09-29,165
2023-05-29,164
2022-11-29,160
2024-03-04,160
2022-11-11,160
2021-04-06,160
2024-02-12,160
2024-01-17,160
2023-08-04,159
2022-08-24,155
2022-08-21,155
2022-10-13,155
2022-07-04,154
2022-12-22,153
2024-10-25,150
2022-03-16,150
2024-08-31,150
2020-08-07,150
2024-04-27,150
2023-03-17,150
2022-04-11,150
2023-05-30,150
2024-04-19,150
2022-12-26,150
2023-04-09,150
2022-06-18,150
2023-04-30,150
2022-08-30,149
2023-11-16,148
2020-03-16,146
2023-07-19,145
2023-06-15,145
2022-08-18,145
2023-10-20,145
2024-06-15,143
2020-07-10,140
2022-10-18,140
2024-05-31,140
2020-07-09,140
2024-08-19,139
2022-07-22,138
2023-09-05,136
2024-05-15,136
2022-11-06,135
2022-06-16,135
2024-02-23,133
2024-10-08,130
2023-08-18,130
2023-10-24,130
2024-04-08,128
2023-08-19,125
2023-11-12,125
2022-08-26,124
2020-06-11,123
2024-10-21,122
2024-02-21,120
2020-07-17,120
2023-11-03,120
2022-11-24,120
2023-11-19,120
2022-07-24,120
2022-02-17,120
2021-09-23,120
2022-02-14,119
2024-07-01,116
2023-10-23,115
2022-06-06,110
2024-05-30,106
2023-09-22,105
2023-07-31,105
2024-05-23,105
2022-07-25,105
2022-06-03,104
2024-06-28,103
2020-10-29,102
2024-02-09,101
2022-10-17,100
2024-08-27,100
2023-08-26,100
2023-09-07,100
2024-08-07,100
2023-10-17,100
2023-02-19,100
2022-03-03,100
2023-12-19,100
2024-09-09,100
2023-11-20,100
2022-09-21,100
2022-02-16,100
2024-03-12,100
2022-04-12,100
2024-08-14,100
2022-03-17,100
2022-05-16,100
2022-11-19,100
2022-04-04,98
2022-08-16,97
2024-01-16,97
2022-09-12,96
2024-08-16,96
2024-03-14,95
2020-05-29,94
2024-01-05,94
2023-01-08,93
2023-04-14,92
2022-12-20,91
2022-07-31,91
2020-07-01,91
2020-10-14,90
2023-02-05,90
2024-03-05,90
2020-06-04,89
2023-03-31,89
2020-05-11,88
2023-07-21,87
2024-04-01,87
2021-02-03,87
2022-04-25,86
2022-10-23,85
2020-07-08,85
2023-11-17,84
2024-08-22,82
2024-06-14,81
2024-11-14,80
2021-07-26,80
2024-03-13,80
2023-06-11,80
2023-01-28,79
2022-09-30,78
2020-12-23,78
2024-08-15,77
2023-05-02,77
2022-08-10,77
2023-09-13,75
2020-03-11,75
2023-07-17,75
2023-09-25,75
2024-07-19,75
2020-08-06,75
2023-10-07,75
2024-11-15,71
2021-11-18,70
2024-04-06,70
2022-09-06,70
2022-05-11,70
2023-11-30,70
2024-10-15,69
2023-08-03,67
2024-07-17,66
2022-08-25,65
2021-04-29,65
2020-07-23,64
2020-06-05,64
2023-05-18,63
2022-12-10,63
2020-07-13,63
2023-05-22,62
2024-11-01,60
2024-03-28,60
2024-07-16,60
2020-07-15,60
2022-10-02,60
2022-08-01,58
2022-02-03,57
2023-04-06,56
2024-07-23,56
2020-08-05,56
2023-04-10,55
2024-03-16,54
2022-12-16,54
2023-08-27,53
2023-09-29,51
2024-08-06,50
2022-10-05,50
2020-04-04,50
2023-08-29,50
2024-09-25,50
2024-01-06,50
2022-04-27,50
2023-06-19,48
2020-09-29,47
2021-03-09,47
2023-07-25,46
2021-02-01,45
2023-12-12,45
2022-04-14,44
2022-06-26,43
2023-03-08,42
2023-09-01,42
2023-04-08,41
2021-09-14,41
2024-09-19,40
2020-04-05,40
2023-02-26,40
2022-09-27,40
2024-09-02,40
2024-09-26,40
2022-06-04,40
2024-08-08,40
2023-05-17,40
2023-07-10,40
2024-09-22,40
2024-09-20,40
2020-06-17,40
2024-09-06,39
2021-08-24,37
2021-04-26,36
2024-11-08,35
2022-12-31,35
2024-06-25,35
2024-01-18,30
2023-07-05,30
2024-06-24,30
2023-12-15,30
2024-01-04,30
2020-11-01,30
2023-07-07,30
2023-05-19,30
2022-02-24,30
2024-08-03,30
2020-08-14,30
2020-08-24,30
2021-08-30,30
2024-04-25,30
2020-09-09,30
2020-11-09,30
2024-10-23,29
2024-08-28,27
2020-06-09,26
2022-10-16,24
2023-07-03,24
2024-03-08,24
2022-09-02,23
2024-06-16,23
2022-05-13,22
2024-05-25,22
2021-10-05,22
2020-07-20,22
2024-03-06,22
2021-01-20,21
2020-05-22,21
2024-11-03,20
2023-11-08,20
2024-03-15,20
2023-10-11,20
2020-08-08,20
2023-12-17,20
2023-08-16,20
2022-04-08,20
2022-03-31,20
2020-03-12,20
2022-12-19,18
2024-11-04,18
2024-09-30,17
2020-06-30,17
2024-03-26,17
2024-09-24,16
2020-06-18,15
2023-12-11,15
2024-03-07,15
2024-05-29,15
2020-03-13,14
2022-08-20,13
2021-02-04,13
2023-03-04,13
2024-10-02,12
2022-08-14,11
2024-03-11,11
2022-04-15,10
2020-06-10,10
2020-05-08,9
2023-08-24,8
2024-09-07,8
2020-10-23,8
2020-08-19,8
2024-08-29,6
2020-11-19,5
2020-03-18,4
2022-10-03,NULL
2020-09-16,NULL
2023-09-20,NULL
2023-11-25,NULL
2023-07-24,NULL
2022-11-23,NULL
2021-01-11,NULL
2022-04-18,NULL
2023-11-06,NULL
2020-09-02,NULL
2022-12-27,NULL
2024-07-22,NULL
2023-12-29,NULL
2020-11-02,NULL
2023-06-30,NULL
2023-05-13,NULL
2024-10-17,NULL
2022-11-27,NULL
2023-09-08,NULL
2022-10-09,NULL
2020-06-15,NULL
2020-11-18,NULL
2022-12-25,NULL
2020-06-28,NULL
2023-12-01,NULL
2024-02-29,NULL
2024-04-07,NULL
2023-10-13,NULL
2023-11-15,NULL
2023-06-18,NULL
2024-10-09,NULL
2022-03-19,NULL
2023-06-23,NULL
2023-06-25,NULL
2024-05-19,NULL
2024-08-21,NULL
2024-08-23,NULL
2024-06-11,NULL
2024-03-18,NULL
2020-08-18,NULL
2024-05-14,NULL
2024-09-03,NULL
2023-06-03,NULL
2020-04-18,NULL
2024-11-05,NULL
2022-08-22,NULL
2024-07-30,NULL
2023-09-18,NULL
2023-10-31,NULL
2023-11-09,NULL
2020-09-08,NULL
2021-10-01,NULL
2023-04-16,NULL
2020-10-21,NULL
2023-06-22,NULL
2024-04-17,NULL
2020-11-05,NULL
2024-07-12,NULL
2022-03-10,NULL
2021-01-07,NULL
2023-12-09,NULL
2022-01-08,NULL
2023-12-28,NULL
2024-08-12,NULL
2023-11-26,NULL
2023-08-07,NULL
2024-07-25,NULL
2022-07-02,NULL
